Game,Talent,Activation,Force?,Ranked?,ShortDesc,LongDesc
Edge of the Empire,Unrelenting Skeptic (Improved),"Active (Incidental, Out of Turn)",0,0,"When targeted by a Deception check that fails, may spend 1 Destiny Point to add :des: to result.",
Edge of the Empire,Up the Ante,Passive,0,1,"When gambling, win 10% more credits per rank of Up the Ante.",
Edge of the Empire,Vaapad Control,Active (Incidental),1,0,"When making a Lightsaber combat check, the character may suffer 1 strain to downgrade the difficulty of the check a number of times equal to the number of light side Destiny Points in the Destiny Pool.",
Edge of the Empire,Walk the Walk,Active (Incidental),0,0,The character may spend 1 Destiny Point to add damage equal to his ranks in Streetwise to one hit of a successful Brawl check.,
Edge of the Empire,Weak Foundation,Active (Action),0,0,"Once per session may take the Weak Foundation action; make a Hard (:pu: :pu: :pu:) Knowledge (Warfare) check. If successful, for the remainder of the encounter the character and all allies add automatic :adv: :adv: or :suc: to all combat checks made targeting the identified fixed structure.",
Edge of the Empire,Well Read,Passive,0,1,Choose any 3 Knowledge skills. They permanently become career skills.,
Edge of the Empire,Well-Traveled,Passive,0,0,Knowledge (Core Worlds) and Knowledge (Outer Rim) become career skills.,
Age of Rebellion,All-Terrain Driver,Passive,0,0,Do not suffer usual penalties for driving through difficult terrain when using Piloting (Planetary).,"When piloting a vehicle using the Piloting (Planetary) skill, the character does not suffer the penalties for driving through difficult terrain."
Age of Rebellion,Bad Press,Active (Action),0,0,"Once per session, choose an organization and make a Hard (:pu: :pu: :pu:) Deception check. On success, organization members have their wound thresholds reduced by 1, plus 1 per :suc: :suc: :suc: until the end of the encounter.",
Age of Rebellion,Basic Combat Training,Passive,0,0,Brawl and Ranged (Light) become career skills.,Brawl and Ranged (Light) become career skills.
Age of Rebellion,Blackmail,"Active (Incidental, Out of Turn)",0,0,"When an NPC exceeds his strain threshold, may spend 1 Destiny Point to convince that NPC to perform a single task of choice instead.",
Age of Rebellion,Bought Info,Active (Action),0,0,"Instead of making a Knowledge check, may take a Bought Info action; spend credits equal to 50 times the difficulty of the check to pass with on :suc:.","When required to make a Knowledge skill check, the character can instead make a Bought Info action. He spends a number of credits equal to 50 times the difficulty of the check and counts as succeeding on the check with one uncanceled :suc:. At the GM's discretion, the character may not be able to use this ability if the information sought is particularly hard to find, or if the character is in a situation where he could not purchase information (such as marooned on a planet with no access to the HoloNet)."
Age of Rebellion,Careful Planning,Active (Action),0,0,"Once per session, may introduce a ""fact"" into the narrative as if a Destiny Point had been spent.","Once per game session, the character can choose to introduce a ""fact"" or additional context directly into the narrative as if he had spent a Destiny Point."
Age of Rebellion,Clever Solution,Active (Incidental),0,0,"Once per session, make one skill check using Cunning rather than the charactaristic linked to that skill.","Once per game session, the character can choose to make one skill check using Cunning, rather than the characteristic linked to that skill. When he does this, he must explain how, in this particular instance, his cunning is helping him overcome this challenge."
Age of Rebellion,Commanding Presence,Passive,0,1,Remove :bk: per rank of Commanding Presence from Leadership and Cool checks.,The character removes :bk: per rank of Commanding Presence from his Leadership and Cool checks.
Age of Rebellion,Coordinated Assault,Active (Maneuver),0,1,Take the Coordinated Assault maneuver: a number of engaged allies equal to Leadership ranks add :adv: to combat checks until beginning of next turn. Range increases per rank of Coordinated Assault.,"The character may make a Coordinated Assault maneuver. If he does so, a number of allies engaged with him equal to his ranks in Leadership gain :adv: on combat checks they make until the beginning of the character's next turn. The range of this maneuver increases by one band per rank of Coordinated Assault."
Age of Rebellion,Creative Killer,Passive,0,0,Reduce the crit rating of improvised weapons by 2 (to a minimum of 1).,The character reduces the critical rating of all improvised weapons he is wielding by 2 (to a minimum of 1).
Age of Rebellion,Cutting Question,Active (Incidental),0,0,"Once per encounter, when making a Coercion skill check, the character may use Deception skill instead.",
Age of Rebellion,Debilitating Shot,Active (Incidental),0,0,"Upon Successful attack with a starship or vehicle weapon, may spend :adv: :adv: to reduce the maximum speed of the target by 1 until the end of the next round.","Upon making a successful attack with a starship or vehicle weapon, may spend :adv: :adv: to reduce the maximum speed of the target by 1 (to a minimum of 1) until the end of the next round. If the starship or vehicle was traveling its maximum speed, it has its current speed reduced to the new maximum."
Age of Rebellion,Discredit,Active (Action),0,0,"Once per encounter, take the Discredit Action: make a Hard (:pu: :pu: :pu:) Deception cehck to upgrade the difficulty of one character's social checks once, plus once for every :adv: :adv:, until end of encounter.",
Age of Rebellion,Dynamic Fire,Active (Incidental),0,0,"When making a ranged attack while engaged with an opponent, may suffer 2 strain to reduce the ranged modifier by 1.","When making a ranged attack while engaged with an opponent, the character may suffer 2 strain to reduce the ranged modifier added for being engaged by 1 for the attack. So, when firing a Ranged (Heavy) weapon, the character only increases the difficulty by 1 when engaged, and when firing a Ranged (Light) weapon, he doesn't increase the difficulty at all."
Age of Rebellion,Encoded Communique,Passive,0,0,Upgrade the difficulty of checks to decrypt this character’s coded messages without the proper cipher a number of times equal to Computes skill.,
Age of Rebellion,Encouraging Words,"Active (Incidental, Out of Turn)",0,0,"After an engaged ally fails a check, may suffer 1 strain to assist that ally's next check this encounter as an out of turn incidental.",
Age of Rebellion,Exhaust Port,Active (Incidental),0,0,"Before attacking a starship or vehicle, the character may spend 1 Destiny Point to ignore the effects of the Massive rule for the attack.","Before attacking a starship or vehicle, the character may spend 1 Destiny Point to ignore the effects of the Massive rule for the attack."
Age of Rebellion,Fire Control,Active (Maneuver),0,0,Take the Fire Control action: all combat checks made from current starship or vehicle count their target’s silhouette as one higher than normal until beginning of next turn. Does not stack.,"When in a starship or vehicle, the character can make a Fire Control maneuver. If he does so, all combat checks from the starship or vehicle count the silhouette of the target as one higher than normal until the beginning of the character's next turn. This effect does not stack with multiple uses of the Fire Control maneuver."
Age of Rebellion,Force of Will,Active (Incidental),0,0,"Once per session, make one skill check using Willpower rather than the characteristic linked to that skill.","Once per game session, the character can choose to make one skill check using Willpower, rather than the characteristic linked to that skill. When he does this, he must explain how, in this particular instance, his willpower is helping him overcome this challenge."
Age of Rebellion,Form on Me,Passive,0,0,Allies equal to ranks in Leadership in close range gain the benefits of the Gain the Advantage action.,"When the character performs the Gain the Advantage action (see page 247), a number of allied vehicles equal to his ranks in Leadership and within close range also gain the benefits of the action on the target. These allied vehicles maintain the benefits until they leave close range with the character or the character loses the benefits of Gain the Advantage."
Age of Rebellion,Greased Palms,Active (Maneuver),0,1,"Before making a social check, may spend up to 50 credits per rank of Greased Palms to upgrade the ability of the check once for every 50 spent.","Before making a social interaction check, the character may perform a Greased Palms maneuver and spend up to 50 credits per rank of Greased palms. For every 50 credits spent, the character upgrades the ability of the skill check once. How the money accomplishes this can be up to the player and GM, but could take the form of bribes, buying gifts, or even purchasing information that gives the character an advantage in the ensuing interaction"
Age of Rebellion,In the Know,Passive,0,1,Remove :bk: up to ranks in In the Know from checks to get information from people or disseminate news. Minion NPCs do not realize this character’s allegiance in interviews.,
Age of Rebellion,In the Know (Improved),Active (Action),0,0,"Once per session, make an opposed Deception vs Vigilance check with the difficulty downgraded once per rank of In the Know to have a target NPC believe specific false intelligence.",
Age of Rebellion,Incite Rebellion,Active (Action),0,0,"Once per session, may take an Incite Rebellion action; make a Hard (:pu: :pu: :pu:) Coercion check to cause a number of beings up to ranks in Coercion to become rebellious until the end of the encounter.","Once per game session, the character can take an Incite Rebellion action to make a Hard (:pu: :pu: :pu:) Coercion check. If successful, a number of beings up to his ranks in Coercion become unhappy and try to take action against an organization or authority with power over them until the end of the encounter. This could be due to something the character did or said, or just because the beings were already unhappy with their position."
Age of Rebellion,Interjection,"Active (Incidental, Out of Turn)",0,0,"After another character makes a social check, suffer 3 strain to take an Interjection incidental: make an Average (:pu: :pu:) Vigilance check to add :suc: or :fai: equal to :suc: and :adv: or :thr: equal to :adv: on the check.",
Age of Rebellion,Invigorate,Active (Incidental),1,0,"Once per encounter, may add :wh: to a check using Brawn or Agility made by an ally in short range. :lsp: add :suc: and :dsp: add :thr:.","Once per encounter, when an ally within short range attempts a skill check using the Brawn or Agility characteristic, the character may roll :wh:. Each :lsp: adds :suc: to the target's check; however, each :dsp: adds :thr: to the target's check."
Age of Rebellion,It's Not That Bad,Active (Out of Turn),0,0,"Once per session when an ally would suffer a Critical Injury, may take an It’s Not That Bad action; make a Hard (:pu: :pu: :pu:) Medicine check to stop the ally from gaining the Critical Injury.","Once per game session, when an ally is about to suffer a critical injury, the character can take an It's Not That Bad incidental to make a Hard (:pu: :pu: :pu:) Medicine check. If successful, the ally does not gain the Critical Injury and does not suffer any of its normal effects (although the attack that caused the Critical Injury still deals its damage as normal)."
Age of Rebellion,Know-It-All,Active (Incidental),0,0,"Once per session, perfectly recall an important fact previously learned as if a Destiny Point had been spent.",
Age of Rebellion,Master Driver,Active (Incidental),0,0,"Once per round when driving a vehicle, may suffer 2 strain to perform any action as a maneuver.","Once per round when piloting a vehicle using the Piloting (Planetary) skill, the character may voluntarily suffer two strain to perform any action as a maneuver instead."
Age of Rebellion,Master Grenadier,Passive,0,0,Decrease the :adv: cost to activate the Blast quality on any weapon used by 1 to a minimum of 1.,The character decreases the :adv: cost to activate the Blast quality on any weapon he uses by 1 to a minimum of 1. This includes the cost to activate the Blast quality if the weapon misses.
Age of Rebellion,Master Leader,Active (Incidental),0,0,"Once per round, suffer 2 strain to decrease difficulty of next Leadership check by one, to a minimum of Easy (:pu:).","Once per round, the character may suffer two strain to decrease the difficulty of his next Leadership check by one, to a minimum of Easy (:pu:)."
Age of Rebellion,Natural Driver,Active (Incidental),0,0,"Once per session, may re-roll any 1 Piloting (Planetary) or Gunnery check.","Once per game session, the character may reroll any one Piloting (Planetary) or Gunnery check."
Age of Rebellion,Natural Leader,Active (Incidental),0,0,Once per session. may reroll any 1 Cool or Leadership check.,"Once per game session, the character may reroll any one Cool or Leadership check."
Age of Rebellion,Overwhelm Defenses,Active (Incidental),0,1,"Upon unsuccessful attack with a starship or vehicle weapon, may spend :adv: :adv: per rank of Overwhelm Defenses. Reduce the defense in the targeted zone by 1 for every :adv: :adv: spent.","Upon making an unsuccessful attack with a starship or vehicle weapon, the character may spend :adv: :adv: per rank of Overwhelm Defenses. Reduce the defense rating in the defense zone targeted by the attack for the remainder of the encounter by 1 for every :adv: :adv: spent."
Age of Rebellion,Physical Training,Passive,0,1,Add :bl: per rank of Physical Training to Athletics and Resilience checks.,The character adds :bl: per rank of Physical Training to his Athletics and Resilience checks.
Age of Rebellion,Plausible Deniability (Improved),Active (Action),0,0,Take an Improved Plausible Deniability action: make a Hard (:pu: :pu: :pu:) Coercion check to convince one bystander per rank of Plausible Deniability to depart quietly.,
Age of Rebellion,Positive Spin,Passive,0,1,"Whenever any character’s Duty would increase, it increases by an additional 1 per rank of Positive Spin.",
Age of Rebellion,Positive Spin (Improved),Active (Action),0,0,"Whenever any character’s Duty would increase, it increases by an additional 1 per rank of Positive Spin.",
Age of Rebellion,Powerful Blast,Passive,0,1,"Increase Blast damage dealt by explosives, explosive weapons, and grenades by +1 per rank of Powerful Blast.","The character increases the Blast quality damage dealt by explosives, explosive weapons, and grenades he uses by 1 per rank of Powerful Blast."
Age of Rebellion,Quick Fix,Active (Incidental),0,0,"Once per session, make one skill check using Agility rather than the Characteristic linked to that skill.","Once per game session, the character can choose to make one skill check using Agility, rather than the characteristic linked to that skill. When he does this, he must explain how, in this particular instance, his agility is helping him overcome this challenge."
Age of Rebellion,Researcher (Improved),Passive,0,0,"On a successful Knowledge check, character and allies gain automatic :adv: per rank of Researcher on checks to act on those facts until the end of his next turn.",
Age of Rebellion,Selective Detonation,Active (Incidental),0,1,"When using a weapon with the Blast quality, spend :adv: to exclude 1 target that would be affected by the explosion, up to ranks in Selective Detonation.","When using weapons with the Blast quality or explosive devices, the character may spend :adv: to exclude one target that would normally be affected by the explosion. Multiple targets may be excluded in this manner, but the total number may not exceed his ranks in Selective Detonation. The character may also spend :tri: to exclude multiple targets, as long as the total number of targets excluded does not exceed his ranks in Selective Detonation."
Age of Rebellion,Situational Awareness,Passive,0,0,Allies within short range of the vehicle add :bl: to their Perception and Vigilance checks. Allies within close range add :bl: :bl: instead.,"When in a starship or vehicle with functional corns, allies within short range add :bl: to their Perception and Vigilance checks. Allies within close range add :bl: :bl: instead. This talent operates on planetary scale, not personal scale."
Age of Rebellion,Sleight of Mind,Passive,1,1,Add :bl: to all Stealth checks unless the opposition is immune to Force powers.,The character adds :bl: per rank of Sleight of Mind to his Stealth checks unless the being attempting to detect the character is immune to Force Powers.
Age of Rebellion,Sound Investments,Passive,0,1,"At the start of each session, gain 100 credits for each rank of Sound Investments.","At the beginning of each game session, the character gains credits equal to his ranks in Sound Investments times 100. How this money is earned is up to the player and CM, and could be actual investments, business dealings, or even a small legal or illegal side business. The GM can also decide that the current events of the adventure may make these funds temporarily unavailable."
Age of Rebellion,Stimpack Specialization,Passive,0,1,Slimpacks heal 1 addilional wound per rank of Stimpack Specialization.,"Whenever the character uses a stimpack, the target heals an additional wound per rank of Stimpack Specialization. The sixth stimpack and beyond each day still have no effect."
Age of Rebellion,Strong Arm,Passive,0,0,Treat thrown weapons as if they had 1 greater range.,"Characters with the Strong Arm talent treat thrown weapons as if they had one step greater range, to a maximum of medium range."
Age of Rebellion,Supporting Evidence,Passive,0,1,"When assisting an ally with a Charm, Deception, Leadership or Negotiation check, add automatic :adv: per rank of Supporting Evidence.",
Age of Rebellion,Tactical Combat Training,Passive,0,0,Melee and Ranged (Heavy) become career skills.,Melee and Ranged (Heavy) become career skills.
Age of Rebellion,Time to Go,Active (Out of Turn),0,0,The character may spend 1 Destiny Point to perform a Move maneuver as an incidental to attempt to move into cover or out of the blast range of a weapon or explosion.,"The character may spend 1 Destiny Point to perform a Move maneuver as an incidental to attempt to move into cover or out of the blast range of a weapon or explosion. This may be performed out of turn. This incidental occurs after the character determines he would be hit by the blast, but before damage is applied."
Age of Rebellion,Time to Go (Improved),Active (Out of Turn),0,0,"When activating Time to Go, allow 1 engaged ally to also perform an out of turn Move maneuver as an incidental to attempt to move into cover or out of the blast range of a weapon or explosion.","When activating Time to Co, the character may allow one ally he is engaged with to also perform an out of turn Move maneuver as an incidental to attempt to move into cover or out of the blast range of a weapon or explosion. This incidental occurs after the ally determines he would be hit by the blast, but before damage is applied."
Age of Rebellion,True Aim,Active (Maneuver),0,1,"Once per round, may perform a True Aim maneuver to gain benefits of aiming and upgrade combat check once per rank of True Aim.","Once per round, before the character makes a ranged attack, he may perform a True Aim maneuver. By performing this maneuver, the character gains all the benefits for aiming and also upgrades his attack roll once per rank of True Aim."
Age of Rebellion,Twisted Words,"Active (Incidental, Out of Turn)",0,0,"When an incoming social check generates :thr: :thr: or :des:, may suffer 1 strain as an incidental to inflict strain equal to ranks in Coercion on speaker.",
Age of Rebellion,Unstoppable,Passive,0,0,"If a Critical Injury roll is 1 or reduced to 1, do not receive the critical injury.","If the percentile roll made when the character receives a Critical Injury is 1 or is reduced to 1, the character does not receive the Critical Injury and suffers none of the effects."
Age of Rebellion,Vehicle Combat Training,Passive,0,0,Gunnery and Piloting (Planetary) become career skills.,Gunnery and Piloting (Planetary) become career skills.
Age of Rebellion,Well Traveled,Passive,0,0,Knowledge (Core Worlds) and Knowledge (Outer Rim) become career skills.,Knowledge (Core Worlds) and Knowledge (Outer Rim) become career skills.
Age of Rebellion,Works Like a Charm,Active (Incidental),0,0,"Once per session, make one skill check using Presence rather than the characteristic linked to that skill.","Once per game session, the character can choose to make one skill check using Presence, rather than the characteristic linked to that skill. When he does this, he must explain how, in this particular instance, his social ability is helping him overcome this challenge."
Edge of the Empire,Adversary,Passive,0,1,,Upgrade the difficulty of any combat check targeting this character once per rank of Adversary.
Edge of the Empire,Anatomy Lessons,Active (Incidental),0,0,"After making a successful attack, may spend 1 Destiny Point to add damage equal to Intellect to one hit.","After a successful attack with a non-starship/vehicle weapon, the character may spend one Destiny Point to add damage equal to his Intellect to one hit of the attack."
Edge of the Empire,Armor Master,Passive,0,0,"When wearing armor, increase total soak value by 1.","When wearing armor, the character increases his total soak value by one."
Edge of the Empire,Armor Master (Improved),Passive,0,0,"When wearing armor with a soak value of 2 or higher, increase defense by 1.","When wearing armor with a soak value of two or higher, the character increases his defense by one."
Edge of the Empire,Bacta Specialist,Passive,0,1,Patients regain 1 additional wound per rank of Bacta Specialist when they recover wounds from bacta tanks or long term care.,Patients under the character's supervision regain one additional wound per rank of Bacta Specialist each time they recover a wound while recovering in a Bacta tank or under supervised medical conditions or long-term care.
Edge of the Empire,Bad Motivator,Active (Action),0,0,"Once per session, may take a Bad Motivator action; make a Hard (:pu: :pu: :pu:) Mechanics check to cause one targeted device to spontaneously fail.","Once per game session, the character may take a Bad Motivator action to make a Hard (:pu: :pu: :pu:) Mechanics check. If successful, one device (subject to the GM's approval) spontaneously fails due to the character's involvement, or because it was about to fail anyway and the character noticed it (this is the character's decision)."
Edge of the Empire,Balance,Active (Maneuver),1,0,"When the character recovers strain at the end of the encounter, he may add :wh: per Force rating. He recovers additional strain equal to :ldsp: generated.",Add one damage per rank of Barrage to one hit of successful Ranged (Heavy) or Gunnery attacks with nonstarship/vehicle weapons at long or extreme range.
Edge of the Empire,Barrage,Passive,0,1,Add 1 damage per rank of Barrage to 1 hit of successful attack while using Ranged (Heavy) or Gunnery skills at long or extreme range.,"When looking to purchase illegal, exotic, or black market goods, the character may decrease an item's rarity by one level per rank in Black Market Contacts. For each level an item's rarity is decreased, its cost increases by 50% of its base cost."
Edge of the Empire,Black Market Contacts,Active (Incidental),0,1,"When purchasing illegal goods, may reduce rarity by 1 per rank of Black Market Contacts, increasing cost by 50 percent of base cost per reduction.","When the character recovers from strain at the end of each encounter, he may roll his Force rating in Force dice. He regains additional strain equal to the :lsp: rolled."
Edge of the Empire,Blooded,Passive,0,1,"Add :bl: per rank of Blooded to all checks to resist or recover from poisons, venoms, or toxins. Reduce duration of ongoing poisons by 1 round per rank of Blooded to a minimum of 1.","Add :bl: per rank of Blooded to all checks to resist or recover from the effects of poisons, venoms, and other toxins. Reduce the duration of any related ongoing effects or damage from toxins, venoms, or poisons by one round per rank of Blooded to a minimum of one."
Edge of the Empire,Bodyguard,Active (Maneuver),0,1,"Once per round, perform the Body Guard maneuver to guard an engaged character. Suffer a number of strain no greater than ranks of Body Guard. then until the beginning of the next turn upgrade the difficulty of combat checks targeting the character by that number.","Once per round on the character's turn, the character may perform a Body Guard maneuver to protect one ally he is engaged with. He then suffers a number of strain no greater than his ranks in Body Guard. Until the start of the character's next turn, upgrade the difficulty of all combat checks targeting the protected ally a number of times equal to the strain suffered by the character."
Edge of the Empire,Brace,Active (Maneuver),0,1,Perform the Brace maneuver to remove :bk: per rank of Brace from the next Action. This may only remove :bk: added by environmental circumstances.,"As a maneuver, the character may Brace himself. This allows a character to remove :bk: per rank of Brace from the next skill check based on changing conditions, inclement weather, unstable surfaces, zero gravity, heavy gravity, or other disruptive physical obstacles that would make a skill check more difficult."
Edge of the Empire,Brilliant Evasion,Active (Action),0,0,Once per encounter may take Brilliant Evasion action; select 1 opponent and make Opposed Piloting (Planetary or Space) check to stop opponent from attacking character for rounds equal to Agility.,"The character may make the Brilliant Evasion action when piloting a vehicle or starship. The character selects one opponent and makes an Opposed Piloting (Planetary or Space) check If he succeeds, the opponent's vehicle or starship cannot make any attacks against the character's vehicle for a number of rounds equal to the character's Agility. Brilliant Evasion can only be performed once per encounter."
Edge of the Empire,Bypass Security,Passive,0,1,Remove :bk: per rank of Bypass Security from checks made to disable a security device or open a locked door.,Remove :bk: equal to the character's ranks in Bypass Security from Skullduggery or Computers skill checks made to disable a security device or open a locked door.
Edge of the Empire,Codebreaker,Passive,0,1,Remove :bk: per rank in Codebreaker from checks to break codes or decrypt communications. Decrease difficulty of checks to break codes or decrypt communications by 1.,"The character removes :bk: from any attempt to break codes or decrypt communications equal to his ranks in Codebreaker. In addition, the character decreases the difficulty of Computers or Intellect checks made to break codes or decrypt communications by one. This does not increase with additional ranks of Codebreaker."
Edge of the Empire,Command,Passive,0,1,Add :bl: per rank of Command when making Leadership checks. Affected targets add :bl: to Discipline checks for next 24 hours.,"Gain :bl: when making Leadership checks (or other checks to inspire, lead, or rally an audience) per rank of Command. Inspired targets also add :bl: per rank to any subsequent Discipline checks they make over the next twenty-four hours. This does not increase with additional ranks of Command."
Edge of the Empire,Confidence,Passive,0,1,May decrease difficulty of Deiscipline checks to avoid fear by 1 per rank of Confidence,"The character may decrease the difficulty of any Discipline check to avoid the effects of fear by one level per rank of Confidence. If he decreases the difficulty to zero, he does not have to make a Discipline check."
Edge of the Empire,Contraption,Active (Action),0,0,"Once per session, take Contraption action; make a Hard (:pu: :pu: :pu:) Mechanics check to fashion a device to solve a current problem using just the tools and parts on hand.","Once per game session, the character can take a Contraption action. With a successful Hard(:pu: :pu: :pu:) Mechanics check, the character can fashion a device to solve a current problem using the tools and parts on hand. This device must be approved by the GM and functions for the duration of the current encounter only. Those tools are destroyed in the process. :tri: may be spent to allow the tools to be recovered to be reused later."
Edge of the Empire,Convincing Demeanor,Passive,0,1,Remove :bk: per rank of Convincing Demeanor from Deception or Skulduggery checks.,Remove :bk: per rank of Convincing Demeanor from any Deception or Skullduggery check.
Edge of the Empire,Coordination Dodge,"Active (Incidental, Out of Turn)",0,0,"When targeted by a combat check, may spend 1 Destiny Point to add :fai: equal to ranks in Coordination to check.","When targeted by a combat Check, the character may spend one Destiny Point to add :fai: equal to her ranks in Coordination to the check."
Edge of the Empire,Crippling Blow,Active,0,0,"Increase the difficulty of next combat check by 1. If check deals damage, target suffers 1 strain whenever he moves for the remainder of the encounter.","The character may voluntarily increase the difficulty of a combat check by one to deal a crippling blow. If he succeeds and deals damage to the target's wound threshold, the target suffers one strain whenever he moves for the remainder of the encounter."
Edge of the Empire,Custom Loadout,Passive,0,0,May add 2 additional hard points to Signature Vehicle.,
Edge of the Empire,Cyberneticist,Passive,0,1,"Remove :bk: per rank of Cyberneticist from checks to build, repair, and install Cybernetic implants. Cybernetics cost 50% less.",
Edge of the Empire,Dead to Rights,Active (Incidental),0,0,Spend 1 Destiny Point to add additional damage equal to half Agility (rounded up) to one hit of successful attack made with ship or vehiclemounted weaponry.,The character may spend one Destiny Point to add additional damage equal to half his Agility rating (rounded up) to one hit of a successful attack made by ship or vehicle-mounted weaponry.
Edge of the Empire,Dead to Rights (Improved),Active (Incidental),0,0,Spend 1 Destiny Point to add additional damage equal to Agility (rounded up) to one hit of successful attack made with ship or vehicle-mounted weaponry.,The character may spend one Destiny Point to add additional damage equal to his Agility rating to one hit of a successful attack made by ship or vehicle mounted weaponry. This replaces the normal ability for Dead to Rights.
Edge of the Empire,Deadly Accuracy,Passive,0,1,"When acquired, choose 1 combat skill. Add damage equal to ranks in that skill to one hit of successful attack made using that skill.","Each time the character gains a rank of Deadly Accuracy, he must choose one combat skill. The character may add his basic training ranks in that combat skill as additional damage to one hit of a successful attack made with that skill with non-starship/vehicle weapons. He cannot choose the same combat skill twice."
Edge of the Empire,Dedication,Passive,0,1,Gain +1 to a single characteristic. This cannot bring a characteristic above 6.,Each rank permanently increases a single characteristic of the player's choice by one point. This cannot bring a characteristic above six.
Edge of the Empire,Defensive Driving,Passive,0,1,Increase defense of vehicle or starship being piloted by 1 per rank of Defensive Driving.,Any vehicle the character pilots has its defense rating on all zones increased by one per rank of Defensive Driving.
Edge of the Empire,Defensive Slicing,Passive,0,1,"When defending computer systems, add :bk: per rank of Defensive Slicing to opponent’s checks.","When attempting to defend a computer system against intrusion (or when an opponent attempts to slice a computer I owned or programmed by the character), the character adds :bk: equal to his rank of Defensive Slicing to his opponent's checks"
Edge of the Empire,Defensive Slicing (Improved),Passive,0,0,"When defending computer systems, add :bk: per rank of Defensive Slicing to opponent’s checks.","When attempting to defend a computer system against intrusion, the character upgrades the difficulty of an opponent's dice pool a number of times equal to his rank of Defensive Slicing. This replaces the usual benefits from Defensive Slicing."
Edge of the Empire,Defensive Stance,Active (Maneuver),0,1,"Once per round, may perform Defensive Stance maneuver and suffer a number of strain to upgrade difficulty of all incoming melee attacks by an equal number. Strain suffered this way cannot exceed ranks in Defensive Stance.","One per round on the character's turn, the character may perform a Defensive Stance maneuver to assume a defensive stance against incoming melee attacks. He then suffers a number of strain no greater than his ranks in Defensive Stance. Until the start of the character's next turn, upgrade the difficulty of all melee combat checks targeting the character a number of times equal to the strain suffered by the character in this way."
Edge of the Empire,Deft Maker,Passive,0,1,"Remove :bk: per rank of Deft Maker from checks to repair, modify, construct, or program droids. Reduce the material cost to craft droids by 50%.",
Edge of the Empire,Disorient,Passive,0,1,"After hitting with combat check, may spend :adv: :adv: to disorient target for number of rounds equal to ranks in disorient.","After hitting with a combat check, the character may spend :adv: :adv: to disorient his foe (see page 218). Disoriented targets add :bk: to all skill checks. The target is disoriented for a number of rounds equal to the attacker's ranks in Disorient."
Edge of the Empire,Dodge,"Active (Incidental, Out of Turn)",0,1,"When targeted by a combat check, may perform a dodge incidental to suffer a number of strain no greater than ranks of Dogde, then upgrade the difficulty of the check by that number.","When targeted by a combat check (ranged or melee) the character may choose to immediately perform a Dodge incidental to suffer a number of strain, then upgrade the difficulty of the combat check by that number. The number of strain suffered cannot exceed his ranks in Dodge."
Edge of the Empire,Durable,Passive,0,1,May reduce any Critical Injury suffered by 10 per rank of Durable to a minimum of 1.,"The character may reduce a Critical Injury result he suffers by 10 per rank of Durable, to a minimum of one."
Edge of the Empire,Enduring,Passive,0,1,Gain +1 soak value.,Character gains + 1 soak value per rank of Enduring
Edge of the Empire,Energy Transfer,Active (Maneuver),0,0,May suffer 1 strain to use Energy Transfer maneuver to power up an unpowered device or replenish exhausted ammunition for an energy weapon.,
Edge of the Empire,Engineered Redundancies,Passive,0,0,"Gain the ability to use emergency repair patches to heal. Additionally, can be healed with Mechanics check.",
Edge of the Empire,Expert Tracker,Passive,0,1,Remove :bk: per rank of Expert Tracker from checks to find tracks or track targets. Decrease time to track a target by half.,Remove :bk: per rank of Expert Tracker from checks to find or follow tracks. Survival checks made to track targets take 50% less time than normal. This does not decrease with additional ranks of Expert Tracker.
Edge of the Empire,Eye for Detail,Active (Incidental),0,1,"After making a Mechanics of Computers check, may suffer strain up to ranks in Eye for Detail to convert that many :suc: to :adv:.",
Edge of the Empire,Familiar Suns,Active (Maneuver),0,0,"Once per session, may perform a Familiar Suns maneuver; make a Hard (:pu: :pu: :pu:) Knowledge (Outer Rim) or (Core Worlds) check to reveal the current type of planetary environment and other useful information.","Once per game session the character may spend a maneuver to make a Hard (:pu: :pu: :pu:) Knowledge (Outer Rim) or Knowledge (Core Worlds) check. If successful, the character is familiar with the type of planetary environment he finds himself in. He knows whether the planet is likely to be inhabited and, if so, where habitation could be found. He also knows about unusual environmental effects, hostile predators, or sources of potential profit."
Edge of the Empire,Fancy Paint Job,Passive,0,0,"Upgrade all Charm, Deception, and Negotiation checks made in the presence of Signature Vehicle once.",
Edge of the Empire,Feral Strength,Passive,0,1,Add 1 damage per rank of Feral Strength to one hit of successful attacks made using Brawl or Melee skills.,The character deals + 1 damage to one hit on all successful Brawl and Melee checks per rank of Feral Strength.
Edge of the Empire,Field Commander,Active (Action),0,0,Take the Field Commander action: make an Average (:pu: :pu:) Leadership check. A number of allies equal to Presence may immediately suffer 1 strain to perform 1 free maneuver.,"The character may take a Field Commander action.
By successfully passing an Average (:pu: :pu:) Leadership check, a number of allies equal to his Presence may immediately suffer one strain to perform one maneuver. This does not count against the number of maneuvers they may perform in their turn. If there are any questions as to the order in which allies act, the character using Field Commander is the final arbitrator"
Edge of the Empire,Field Commander (Improved),Passive,0,0,"Field Commander action affects allies equal to double Presence, and may spend :tri: to allow allies to suffer 1 strain and perform 1 free action instead.","When taking a Field Commander action, the character may affect allies equal to twice his Presence. In addition, he may spend :tri: generated on his Leadership checks to allow one ally to suffer one strain to perform an action, rather than a maneuver."
